velocidad_mbps,datos_gb_mes,dispositivos,perfil
190.39735882944444,193.28159955023347,12,Estándar
475.6035816729085,546.4819379045746,7,Premium
367.33700119664553,874.2163775176442,3,Premium
301.3359496775331,734.9026375454656,7,Premium
82.22922701900607,808.4955363828352,12,Estándar
82.21728756642031,662.1955330436102,14,Estándar
33.751388023258734,695.3537988726739,8,Básico
433.7571921585929,850.7036950496661,10,Empresarial
302.5519308128884,257.1713287705941,6,Estándar
355.49592600904253,494.53071400670905,15,Estándar
15.189324676422212,228.99734740140622,10,Básico
485.1053768201872,987.7913279166805,9,Premium
417.05910719620874,944.6187462897472,13,Empresarial
110.1078597857467,49.03254325482084,6,Básico
95.00335876751481,708.5194207905316,12,Estándar
95.78523237744974,925.9958342415092,9,Estándar
155.5999102649712,188.7695916760602,13,Estándar
264.75443365795775,572.2657782471032,4,Premium
218.81278422784732,916.3334146121614,8,Premium
149.15842439803075,43.60651879994085,11,Básico
307.8671828875778,700.4460645743716,4,Premium
74.04946102276071,304.3755172988253,2,Estándar
149.61160102493298,925.1522334227651,10,Estándar
186.3491124303774,971.347662713714,11,Estándar
230.75464218743278,944.8238242222995,9,Premium
393.6621008895417,479.47207449088916,5,Premium
103.83852216838807,863.4222244794203,4,Premium
259.5460470147377,846.1039045497197,2,Premium
298.24521158671104,325.9094685108231,1,Premium
27.992954296398874,830.6263194091706,11,Básico
305.73470169121197,46.63755836833769,7,Básico
89.4094412252093,600.3071796972325,6,Estándar
37.20053852771336,237.70874891482603,15,Básico
474.69834094039993,129.36121691950603,15,Estándar
482.9878563719069,86.18366961291706,2,Básico
405.1566873176483,699.3258881193584,8,Premium
155.78381574081848,346.4762141303855,11,Estándar
53.34769643316002,727.5191038134739,4,Estándar
343.69534812351765,74.70277739095295,8,Básico
222.87548440110265,322.1374344523042,15,Estándar
65.40892624816553,544.0963794515839,7,Estándar
250.11257050507874,792.8159331905739,5,Premium
22.022317952033106,325.5649779027492,10,Básico
455.1135990289971,629.632462672639,10,Empresarial
133.09609089200836,887.1179707538253,12,Estándar
332.9485307552211,619.7045563004815,8,Premium
159.29698266425842,240.62988000609744,14,Estándar
262.43367048301633,34.15677374097264,9,Básico
275.62158827492345,871.3978851619206,5,Premium
96.50295548513589,31.056716741883267,10,Básico
484.9443907434565,875.9546559573574,5,Premium
388.6907475637517,533.6477626869398,2,Premium
470.0519760742736,939.6770215277672,5,Premium
447.9395384616862,800.7954034159287,3,Premium
300.96048951148714,997.954769428004,7,Premium
461.32774633644283,357.20469729719304,10,Estándar
48.80378851570015,769.5164060418156,5,Básico
102.01151689747687,407.91160447314974,8,Premium
27.387508010716342,485.0768641008698,1,Básico
166.03851372781585,631.2304085861864,3,Premium
197.3952583962936,874.9403430444754,3,Premium
139.31777072807847,984.2426345073022,9,Premium
415.225067030205,770.590679725873,5,Premium
181.5928967133267,423.58911434566045,12,Estándar
144.06258229525346,427.14343225429946,9,Premium
273.634561163333,740.2064785730025,13,Estándar
74.75749136250751,246.3893743106193,9,Estándar
402.0875054732496,119.36937200008072,1,Estándar
41.90256862148656,361.07593606436876,2,Básico
493.5090336172561,294.3666017375409,5,Estándar
387.26116080184545,303.3450392514302,4,Premium
103.36426235941533,241.27167353941084,15,Estándar
7.733447976183188,51.672257739998265,10,Básico
408.65340708514293,27.69519538607967,9,Básico
354.8943852045705,987.8451658386713,7,Premium
365.8585481802887,433.4954023985037,6,Premium
386.7788216095431,390.4833806880849,7,Premium
41.652102608374726,682.8508098661391,1,Básico
182.44053562941494,226.0713489864135,1,Estándar
62.35518446493921,950.4615721107231,8,Estándar
432.2361958084188,788.4815642713966,13,Empresarial
313.53257277964116,98.51689228913692,13,Básico
168.79452230206135,423.40496802707906,2,Premium
36.4613833915817,880.3271244865431,12,Básico
158.9362492492528,945.2847020684961,10,Estándar
165.9657444032398,472.727496137371,11,Estándar
366.1550582773417,617.2772753186006,9,Premium
320.5909483208305,175.36360663115448,7,Estándar
444.17030757528164,991.2569398756068,6,Premium
238.7463879551649,239.35498436960896,1,Estándar
64.19915173945935,943.3044563937744,1,Estándar
358.05616967538253,653.1501825024447,2,Premium
381.58859906536424,611.6594269300705,6,Premium
282.83221279690065,517.5616259063436,14,Estándar
386.62875407750766,238.3631136005811,6,Estándar
249.42882020037342,184.76275168545317,2,Estándar
263.75275054408706,228.2813469794736,1,Estándar
216.63280408748207,194.57387952281198,10,Estándar
17.582467738327118,781.7886288310858,5,Básico
58.406256361685706,356.6240065750628,5,Estándar
20.557446914933454,67.2642497977624,2,Básico
320.0231535755713,969.4116038394033,6,Premium
160.6062106327817,884.9480261137915,9,Premium
256.74249212652785,928.4747603632609,2,Premium
454.245404593416,994.9587444199709,10,Empresarial
128.3996534286931,182.1562967272924,2,Estándar
208.1395469026367,402.27959871363214,3,Premium
378.9978135788091,760.6560909470504,13,Empresarial
118.25509191835312,699.0604118732543,7,Premium
43.10505536525253,162.3569472764565,6,Básico
148.42696919231517,817.6747937407116,12,Estándar
84.80453719073219,232.19616611829406,8,Estándar
465.20033790957365,231.57943867439684,15,Estándar
405.0195878843864,541.6046786644795,8,Premium
318.5348594726596,597.0105354932862,6,Premium
436.3729921429203,584.2853457594331,12,Empresarial
402.81767806506167,100.57196902377733,11,Estándar
97.35217914858774,878.6862540040765,10,Estándar
446.816704252539,272.944042162819,3,Estándar
271.9744097482471,138.21977206997613,3,Estándar
404.68287680621097,889.8605990702874,15,Empresarial
448.5651934621292,956.0949832474558,1,Premium
162.4117201110726,863.5063410927961,7,Premium
59.475702641199995,811.4209139776293,5,Estándar
117.82790545826113,658.6895608326315,4,Premium
216.41835536999687,555.348796903048,10,Estándar
409.9173091316341,96.11689231229603,15,Básico
431.06163871189,414.3686809399917,4,Premium
8.441304612939398,378.96163184219085,14,Básico
257.81991477589503,267.1562459227229,4,Estándar
211.6184465586456,726.1859125516991,6,Premium
114.94336618301148,500.9169777279831,15,Estándar
64.33335683017299,90.23575374857145,8,Básico
172.11950984479583,227.98136993031324,8,Estándar
471.740303436697,686.4261760229999,5,Premium
164.98545135027385,85.36955089539718,15,Básico
261.80135776296623,852.694844908281,6,Premium
352.99438465311306,500.1950617438346,4,Premium
184.99665317775052,485.78071155338154,12,Estándar
486.03213094687555,596.4837068129224,14,Empresarial
481.41141099634507,826.4341562658976,11,Empresarial
129.63223643355525,354.3311158231711,13,Estándar
251.1380104167308,681.2359910334729,9,Premium
153.93476335930097,570.0746443558331,8,Premium
145.99604471684646,274.3579874677271,10,Estándar
23.259038940493735,879.8436864916064,12,Básico
306.73434532004893,799.4517613908588,10,Empresarial
253.82611649828644,661.8673163118413,1,Premium
30.48198186874473,852.0759118032995,15,Básico
142.92999979712266,868.6212589502044,2,Premium
454.5916135534936,711.2793469478844,9,Premium
123.58313588015135,838.6431950800353,8,Premium
76.72296168515543,700.4967470525908,14,Estándar
247.2791163373937,683.3393640426974,3,Premium
492.89697478474733,622.4252644330325,8,Premium
124.8173593981927,755.1894731620648,12,Estándar
337.7070959659099,167.01905424014296,1,Estándar
382.0017095877152,882.0620516069391,10,Empresarial
122.63058427623784,873.1250924677797,4,Premium
365.4670925628705,38.95481020421356,3,Básico
187.05265069603035,827.558583059115,6,Premium
317.99138614382184,137.58116879871073,7,Estándar
318.5972068266429,341.7676657165505,4,Premium
270.20846861700545,746.0731737286917,7,Premium
49.69343617693211,169.15229708782513,9,Básico
418.4747353166728,819.7873538778716,11,Empresarial
163.78613216100925,833.8128361781645,2,Premium
97.32666264792785,512.3930564232278,11,Estándar
25.183695069608138,16.322012999665244,3,Básico
297.4920068781797,294.16775184316367,5,Estándar
340.3943591119298,620.7576491919848,3,Premium
13.210975319288796,981.3743162471492,11,Básico
258.4860638581441,635.4953917465017,8,Premium
117.11540872297928,267.2055452535182,12,Estándar
